timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time
146,3,4,4,1,1,5,17,24,8,1,1,3,3,1,0.3333333333333333,8
147,3,4,4,2,2,5,17,24,8,1,1,3,3,1,0.3333333333333333,9
148,3,4,4,3,2,5,17,24,8,1,1,3,3,1,0.3333333333333333,10
149,3,4,4,4,2,5,17,24,8,1,1,3,3,1,0.3333333333333333,11
153,3,4,4,5,3,5,17,24,8,1,1,3,3,1,0.3333333333333333,15
847,3,2,4,1,1,5,17,27,11,1,1,24,4,2,0.5,13
848,3,2,4,2,2,5,17,27,11,1,1,24,4,2,0.5,14
849,3,2,4,3,2,5,17,27,11,1,1,24,4,2,0.5,15
850,3,2,4,4,2,5,17,27,11,1,1,24,4,2,0.5,16
854,3,2,4,5,3,5,17,27,11,1,1,24,4,2,0.5,20
868,4,2,4,1,1,5,17,27,11,4,4,25,4,2,0.5,12
869,4,2,4,2,2,5,17,27,11,4,4,25,4,2,0.5,13
870,4,2,4,3,2,5,17,27,11,4,4,25,4,2,0.5,14
872,4,2,4,4,2,5,17,27,11,4,4,25,4,2,0.5,16
875,4,2,4,5,3,5,17,27,11,4,4,25,4,2,0.5,19
909,4,2,2,1,4,3,9,27,11,24,8,27,3,2,0.6666666666666666,12
921,4,2,4,1,1,5,17,27,11,0,0,26,5,2,0.4,13
922,4,2,4,2,2,5,17,27,11,0,0,26,5,2,0.4,14
923,4,2,4,3,2,5,17,27,11,0,0,26,5,2,0.4,15
924,4,2,4,4,2,5,17,27,11,0,0,26,5,2,0.4,16
928,4,2,4,5,3,5,17,27,11,0,0,26,5,2,0.4,20
930,4,2,2,1,4,3,9,27,11,24,8,28,3,2,0.6666666666666666,12
954,3,4,4,1,1,5,17,24,8,1,1,27,3,1,0.3333333333333333,8
955,2,4,3,1,4,3,9,24,8,27,11,27,3,1,0.3333333333333333,9
956,3,4,4,2,2,5,17,24,8,1,1,27,3,1,0.3333333333333333,10
957,3,4,4,3,2,5,17,24,8,1,1,27,3,1,0.3333333333333333,11
958,3,4,4,4,2,5,17,24,8,1,1,27,3,1,0.3333333333333333,12
961,3,4,4,5,3,5,17,24,8,1,1,27,3,1,0.3333333333333333,15
