Time,Mob dist,Thresh,Anomaly
5,1.6870392073989202,3.9096908666406236,False
9,1.1467175022850251,3.9096908666406236,False
13,0.6271308589700665,3.9096908666406236,False
17,0.5801601777361678,3.9096908666406236,False
21,0.670922191407097,3.9096908666406236,False
60,0.6709221914070954,3.9096908666406236,False
61,0.670922191407096,3.9096908666406236,False
62,0.6709221914070963,3.9096908666406236,False
63,0.670922191407096,3.9096908666406236,False
64,0.8335340996109442,3.9096908666406236,False
65,0.8335340996109442,3.9096908666406236,False
66,0.8335340996109442,3.9096908666406236,False
67,0.6709221914070962,3.9096908666406236,False
67,0.8335340996109442,3.9096908666406236,False
68,1.046848626616038,3.9096908666406236,False
69,1.046848626616038,3.9096908666406236,False
70,1.046848626616038,3.9096908666406236,False
71,0.8335340996109442,3.9096908666406236,False
71,1.046848626616038,3.9096908666406236,False
72,2.1313820246962396,3.9096908666406236,False
73,2.1313820246962396,3.9096908666406236,False
74,2.1313820246962396,3.9096908666406236,False
75,1.046848626616038,3.9096908666406236,False
75,2.1313820246962396,3.9096908666406236,False
76,1.6870392073989204,3.9096908666406236,False
77,1.6870392073989204,3.9096908666406236,False
78,1.6870392073989204,3.9096908666406236,False
79,2.1313820246962396,3.9096908666406236,False
79,1.6870392073989204,3.9096908666406236,False
83,1.6870392073989204,3.9096908666406236,False
98,1.6870392073989204,3.9096908666406236,False
102,2.1313820246962396,3.9096908666406236,False
106,1.1467175022850253,3.9096908666406236,False
144,1.1467175022850253,3.9096908666406236,False
145,1.1467175022850253,3.9096908666406236,False
146,1.1467175022850253,3.9096908666406236,False
147,1.1467175022850253,3.9096908666406236,False
148,2.1313820246962396,3.9096908666406236,False
149,2.1313820246962396,3.9096908666406236,False
150,2.1313820246962396,3.9096908666406236,False
151,1.1467175022850253,3.9096908666406236,False
151,2.1313820246962396,3.9096908666406236,False
152,1.6870392073989204,3.9096908666406236,False
153,1.6870392073989204,3.9096908666406236,False
154,1.6870392073989204,3.9096908666406236,False
155,2.1313820246962396,3.9096908666406236,False
155,1.6870392073989204,3.9096908666406236,False
159,1.6870392073989204,3.9096908666406236,False
200,1.6870392073989204,3.9096908666406236,False
204,1.1467175022850267,3.9096908666406236,False
208,0.6271308589700664,3.9096908666406236,False
212,0.8335340996109442,3.9096908666406236,False
250,0.8335340996109442,3.9096908666406236,False
251,0.8335340996109442,3.9096908666406236,False
252,0.8335340996109442,3.9096908666406236,False
253,0.8335340996109442,3.9096908666406236,False
254,1.046848626616038,3.9096908666406236,False
255,1.046848626616038,3.9096908666406236,False
256,1.046848626616038,3.9096908666406236,False
257,0.8335340996109442,3.9096908666406236,False
257,1.046848626616038,3.9096908666406236,False
258,2.1313820246962396,3.9096908666406236,False
259,2.1313820246962396,3.9096908666406236,False
260,2.1313820246962396,3.9096908666406236,False
261,1.046848626616038,3.9096908666406236,False
261,2.1313820246962396,3.9096908666406236,False
262,1.6870392073989204,3.9096908666406236,False
263,1.6870392073989204,3.9096908666406236,False
264,1.6870392073989204,3.9096908666406236,False
265,2.1313820246962396,3.9096908666406236,False
265,1.6870392073989204,3.9096908666406236,False
269,1.6870392073989204,3.9096908666406236,False
304,1.6870392073989204,3.9096908666406236,False
308,1.1467175022850267,3.9096908666406236,False
312,0.6271308589700664,3.9096908666406236,False
316,0.5801601777361673,3.9096908666406236,False
320,0.670922191407096,3.9096908666406236,False
356,0.670922191407096,3.9096908666406236,False
357,0.670922191407096,3.9096908666406236,False
358,0.670922191407096,3.9096908666406236,False
359,0.670922191407096,3.9096908666406236,False
360,0.8335340996109442,3.9096908666406236,False
361,0.8335340996109442,3.9096908666406236,False
362,0.8335340996109442,3.9096908666406236,False
363,0.670922191407096,3.9096908666406236,False
363,0.8335340996109442,3.9096908666406236,False
364,1.046848626616038,3.9096908666406236,False
365,1.046848626616038,3.9096908666406236,False
366,1.046848626616038,3.9096908666406236,False
367,0.8335340996109442,3.9096908666406236,False
