timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time
4393,1,2,1,1,4,3,9,3,3,29,13,115,5,2,0.4,12
4445,1,4,1,1,4,3,9,0,0,29,13,116,4,1,0.25,8
4475,0,1,1,1,4,3,9,9,9,17,1,117,2,2,1.0,12
4483,4,0,2,1,4,3,9,17,1,20,4,117,2,0,0.0,4
4496,1,2,1,1,4,3,9,3,3,29,13,118,5,2,0.4,12
4537,0,1,3,1,4,3,9,20,4,17,1,117,2,2,1.0,13
4557,1,4,1,1,4,3,9,0,0,29,13,119,4,1,0.25,8
4628,4,2,1,1,4,3,9,3,3,16,0,120,3,2,0.6666666666666666,12
4726,4,2,1,1,4,3,9,3,3,16,0,123,3,2,0.6666666666666666,12
4848,0,2,1,1,4,3,9,3,3,17,1,126,2,2,1.0,12
4856,4,0,2,1,4,3,10,17,1,20,4,126,2,0,0.0,4
4873,0,4,1,1,4,3,9,0,0,17,1,127,1,1,1.0,8
4881,4,0,2,1,4,3,11,17,1,20,4,127,2,0,0.0,4
4908,0,1,3,1,4,3,9,20,4,17,1,126,2,2,1.0,12
4937,0,1,3,1,4,3,9,20,4,17,1,127,2,2,1.0,15
5098,2,4,1,1,4,3,9,0,0,30,14,132,5,1,0.2,8
5236,2,4,1,1,4,3,9,0,0,23,7,136,4,1,0.25,8
5278,1,2,1,1,4,3,9,3,3,25,9,137,4,2,0.5,12
5332,1,4,1,1,4,3,9,0,0,25,9,139,3,1,0.3333333333333333,8
5426,2,4,1,1,4,3,9,0,0,22,6,142,3,1,0.3333333333333333,8
5469,1,2,1,1,4,3,9,3,3,25,9,143,4,2,0.5,12
5520,1,4,1,1,4,3,9,0,0,25,9,145,3,1,0.3333333333333333,8
5581,4,2,1,1,4,3,9,3,3,24,8,146,5,2,0.4,12
5688,1,2,1,1,4,3,9,3,3,25,9,149,4,2,0.5,12
5698,1,4,1,1,4,3,9,0,0,25,9,151,3,1,0.3333333333333333,8
5700,0,1,1,1,4,3,9,9,9,17,1,150,2,2,1.0,12
5708,4,0,2,1,4,3,12,17,1,20,4,150,2,0,0.0,4
5760,0,1,3,1,4,3,9,20,4,17,1,150,2,2,1.0,12
5824,2,4,1,1,4,3,9,0,0,26,10,154,4,1,0.25,8
5940,2,4,1,1,4,3,9,0,0,27,11,157,5,1,0.2,8
6048,2,4,1,1,4,3,9,0,0,26,10,160,4,1,0.25,8
6172,2,4,1,1,4,3,9,0,0,23,7,163,4,1,0.25,8
6248,0,2,1,1,4,3,9,3,3,17,1,165,2,2,1.0,12
6256,4,0,2,1,4,3,9,17,1,20,4,165,2,0,0.0,4
6278,0,4,1,1,4,3,9,0,0,17,1,166,1,1,1.0,8
6286,4,0,2,1,4,3,10,17,1,20,4,166,2,0,0.0,4
6310,0,1,3,1,4,3,9,20,4,17,1,165,2,2,1.0,12
6338,0,1,3,1,4,3,9,20,4,17,1,166,2,2,1.0,12
6365,4,2,1,1,4,3,9,3,3,24,8,168,5,2,0.4,12
6468,2,4,1,1,4,3,9,0,0,27,11,172,5,1,0.2,8
6571,4,2,1,1,4,3,9,3,3,20,4,173,4,2,0.5,12
6683,4,2,2,1,4,3,9,19,3,20,4,176,4,2,0.5,12
6703,4,2,1,1,4,3,9,3,3,28,12,178,6,2,0.3333333333333333,12
6868,4,2,1,1,4,3,9,3,3,24,8,181,5,2,0.4,12
6954,1,4,1,1,4,3,9,0,0,25,9,183,3,1,0.3333333333333333,8
6992,1,2,1,1,4,3,9,3,3,25,9,184,4,2,0.5,12
7138,4,2,1,1,4,3,9,3,3,16,0,187,3,2,0.6666666666666666,12
7209,1,4,1,1,4,3,9,0,0,25,9,188,3,1,0.3333333333333333,8
7284,1,2,1,1,4,3,9,3,3,25,9,190,4,2,0.5,12
7311,2,4,1,1,4,3,9,0,0,19,3,192,3,1,0.3333333333333333,8
7335,4,2,2,1,4,3,9,19,3,20,4,192,4,2,0.5,12
7407,0,1,1,1,4,3,9,9,9,17,1,194,2,2,1.0,12
7409,4,2,2,1,4,3,9,19,3,20,4,193,4,2,0.5,12
7415,4,0,2,1,4,3,11,17,1,20,4,194,2,0,0.0,4
7468,0,1,3,1,4,3,9,20,4,17,1,194,2,2,1.0,12
7525,4,2,1,1,4,3,9,3,3,20,4,197,4,2,0.5,12
7526,4,2,2,1,4,3,10,18,2,20,4,196,3,1,0.3333333333333333,9
7665,4,2,1,1,4,3,9,3,3,16,0,200,3,2,0.6666666666666666,12
7738,1,4,1,1,4,3,9,0,0,29,13,201,4,1,0.25,8
7854,1,2,1,1,4,3,9,3,3,29,13,204,5,2,0.4,12
7943,2,4,1,1,4,3,9,0,0,26,10,207,4,1,0.25,8
7970,4,2,1,1,4,3,9,3,3,16,0,208,3,2,0.6666666666666666,12
8053,0,4,1,1,4,3,9,0,0,17,1,211,1,1,1.0,8
8061,4,0,2,1,4,3,12,17,1,20,4,211,2,0,0.0,4
8114,0,1,3,1,4,3,9,20,4,17,1,211,2,2,1.0,12
8145,2,4,1,1,4,3,9,0,0,18,2,213,2,1,0.5,8
8161,4,2,2,1,4,3,9,18,2,20,4,213,3,1,0.3333333333333333,8
8188,0,2,1,1,4,3,9,3,3,17,1,215,2,2,1.0,12
8196,4,0,2,1,4,3,9,17,1,20,4,215,2,0,0.0,4
8252,0,1,3,1,4,3,9,20,4,17,1,215,2,2,1.0,16
8281,2,4,1,1,4,3,9,0,0,23,7,217,4,1,0.25,8
8302,4,2,2,1,4,3,9,18,2,20,4,218,3,1,0.3333333333333333,8
8411,0,1,5,1,1,3,9,9,9,17,1,220,2,2,1.0,12
8418,0,1,5,2,2,3,9,9,9,17,1,220,2,2,1.0,19
8425,0,1,5,3,2,3,9,9,9,17,1,220,2,2,1.0,26
8432,0,1,5,4,2,3,9,9,9,17,1,220,2,2,1.0,33
8439,0,1,5,5,3,3,9,9,9,17,1,220,2,2,1.0,40
8440,0,1,1,1,4,3,10,9,9,17,1,222,2,2,1.0,40
8447,4,0,6,1,1,3,10,17,1,20,4,220,2,0,0.0,4
8454,4,0,6,2,2,3,10,17,1,20,4,220,2,0,0.0,11
8461,4,0,6,3,2,3,10,17,1,20,4,220,2,0,0.0,18
8468,4,0,6,4,2,3,10,17,1,20,4,220,2,0,0.0,25
8475,4,0,6,5,3,3,10,17,1,20,4,220,2,0,0.0,32
8476,4,0,2,1,4,3,11,17,1,20,4,222,2,0,0.0,32
8490,2,4,1,1,4,3,9,0,0,27,11,223,5,1,0.2,8
8496,1,0,7,1,4,3,12,17,1,9,9,220,2,0,0.0,4
8522,4,2,1,1,4,3,9,3,3,24,8,224,5,2,0.4,12
8528,0,1,3,1,4,3,9,20,4,17,1,222,2,2,1.0,12
8597,4,2,2,1,4,3,9,18,2,20,4,225,3,1,0.3333333333333333,8
8674,1,4,5,1,1,3,9,0,0,25,9,228,3,1,0.3333333333333333,8
8681,1,4,5,2,2,3,9,0,0,25,9,228,3,1,0.3333333333333333,15
8688,1,4,5,3,2,3,9,0,0,25,9,228,3,1,0.3333333333333333,22
8695,1,4,5,4,2,3,9,0,0,25,9,228,3,1,0.3333333333333333,29
8702,1,4,5,5,3,3,9,0,0,25,9,228,3,1,0.3333333333333333,36
8703,1,4,1,1,4,3,10,0,0,25,9,230,3,1,0.3333333333333333,36
8752,4,2,1,1,4,3,9,3,3,24,8,232,5,2,0.4,12
8872,2,4,1,1,4,3,9,0,0,30,14,234,5,1,0.2,8
8886,1,2,5,1,1,3,9,3,3,25,9,235,4,2,0.5,12
8887,4,2,2,1,4,3,10,19,3,20,4,233,4,2,0.5,12
8893,1,2,5,2,2,3,9,3,3,25,9,235,4,2,0.5,19
8900,1,2,5,3,2,3,9,3,3,25,9,235,4,2,0.5,26
8907,1,2,5,4,2,3,9,3,3,25,9,235,4,2,0.5,33
8914,1,2,5,5,3,3,9,3,3,25,9,235,4,2,0.5,40
8915,1,2,1,1,4,3,10,3,3,25,9,236,4,2,0.5,40
8990,0,1,5,1,1,3,9,9,9,17,1,237,2,2,1.0,12
8991,2,4,1,1,4,3,9,0,0,31,15,238,6,1,0.16666666666666666,8
8997,0,1,5,2,2,3,9,9,9,17,1,237,2,2,1.0,19
9004,0,1,5,3,2,3,9,9,9,17,1,237,2,2,1.0,26
9011,0,1,5,4,2,3,9,9,9,17,1,237,2,2,1.0,33
9018,0,1,5,5,3,3,9,9,9,17,1,237,2,2,1.0,40
9019,0,1,1,1,4,3,10,9,9,17,1,239,2,2,1.0,40
9026,4,0,6,1,1,3,9,17,1,20,4,237,2,0,0.0,4
9033,4,0,6,2,2,3,9,17,1,20,4,237,2,0,0.0,11
9040,4,0,6,3,2,3,9,17,1,20,4,237,2,0,0.0,18
9047,4,0,6,4,2,3,9,17,1,20,4,237,2,0,0.0,25
9054,4,0,6,5,3,3,9,17,1,20,4,237,2,0,0.0,32
9055,4,0,2,1,4,3,10,17,1,20,4,239,2,0,0.0,32
9056,1,0,7,1,4,3,11,17,1,9,9,237,2,0,0.0,6
9108,0,1,3,1,4,3,9,20,4,17,1,239,2,2,1.0,12
9142,0,4,5,1,1,3,9,0,0,17,1,241,1,1,1.0,8
9149,0,4,5,2,2,3,9,0,0,17,1,241,1,1,1.0,15
9156,0,4,5,3,2,3,9,0,0,17,1,241,1,1,1.0,22
9163,0,4,5,4,2,3,9,0,0,17,1,241,1,1,1.0,29
9170,0,4,5,5,3,3,9,0,0,17,1,241,1,1,1.0,36
9171,0,4,1,1,4,3,10,0,0,17,1,243,1,1,1.0,36
9177,4,2,2,1,4,3,9,18,2,20,4,242,3,1,0.3333333333333333,8
9178,4,0,6,1,1,3,12,17,1,20,4,241,2,0,0.0,4
9185,4,0,6,2,2,3,12,17,1,20,4,241,2,0,0.0,11
9192,4,0,6,3,2,3,12,17,1,20,4,241,2,0,0.0,18
9199,4,0,6,4,2,3,12,17,1,20,4,241,2,0,0.0,25
9206,4,0,6,5,3,3,12,17,1,20,4,241,2,0,0.0,32
9207,4,0,2,1,4,3,9,17,1,20,4,243,2,0,0.0,32
9208,4,0,7,1,4,3,10,17,1,0,0,241,1,0,0.0,6
9260,0,1,3,1,4,3,9,20,4,17,1,243,2,2,1.0,12
9293,4,2,2,1,4,3,9,19,3,20,4,245,4,2,0.5,12
9305,2,4,1,1,4,3,9,0,0,18,2,246,2,1,0.5,8
9321,4,2,2,1,4,3,9,18,2,20,4,246,3,1,0.3333333333333333,8
9333,0,2,5,1,1,3,9,3,3,17,1,247,2,2,1.0,12
9340,0,2,5,2,2,3,9,3,3,17,1,247,2,2,1.0,19
9347,0,2,5,3,2,3,9,3,3,17,1,247,2,2,1.0,26
9354,0,2,5,4,2,3,9,3,3,17,1,247,2,2,1.0,33
9361,0,2,5,5,3,3,9,3,3,17,1,247,2,2,1.0,40
9362,0,2,1,1,4,3,10,3,3,17,1,248,2,2,1.0,40
9369,4,0,6,1,1,3,11,17,1,20,4,247,2,0,0.0,4
9376,4,0,6,2,2,3,11,17,1,20,4,247,2,0,0.0,11
9383,4,0,6,3,2,3,11,17,1,20,4,247,2,0,0.0,18
9390,4,0,6,4,2,3,11,17,1,20,4,247,2,0,0.0,25
9397,4,0,6,5,3,3,11,17,1,20,4,247,2,0,0.0,32
9398,4,0,2,1,4,3,12,17,1,20,4,248,2,0,0.0,32
9399,2,0,7,1,4,3,9,17,1,3,3,247,2,0,0.0,5
9407,2,4,5,1,1,3,9,0,0,26,10,250,4,1,0.25,8
9414,2,4,5,2,2,3,9,0,0,26,10,250,4,1,0.25,15
9421,2,4,5,3,2,3,9,0,0,26,10,250,4,1,0.25,22
9428,2,4,5,4,2,3,9,0,0,26,10,250,4,1,0.25,29
9435,2,4,5,5,3,3,9,0,0,26,10,250,4,1,0.25,36
9436,2,4,1,1,4,3,10,0,0,26,10,251,4,1,0.25,36
9450,0,1,3,1,4,3,9,20,4,17,1,248,2,2,1.0,12
9519,4,2,2,1,4,3,9,18,2,20,4,253,3,1,0.3333333333333333,8
9580,2,4,1,1,4,3,9,0,0,19,3,254,3,1,0.3333333333333333,8
9604,4,2,2,1,4,3,9,19,3,20,4,254,4,2,0.5,12
9698,0,4,5,1,1,3,9,0,0,17,1,258,1,1,1.0,8
9705,0,4,5,2,2,3,9,0,0,17,1,258,1,1,1.0,15
9712,0,4,5,3,2,3,9,0,0,17,1,258,1,1,1.0,22
9719,0,4,5,4,2,3,9,0,0,17,1,258,1,1,1.0,29
9726,0,4,5,5,3,3,9,0,0,17,1,258,1,1,1.0,36
9727,0,4,1,1,4,3,10,0,0,17,1,260,1,1,1.0,36
9734,4,0,6,1,1,3,10,17,1,20,4,258,2,0,0.0,4
9741,4,0,6,2,2,3,10,17,1,20,4,258,2,0,0.0,11
9748,4,0,6,3,2,3,10,17,1,20,4,258,2,0,0.0,18
9755,4,0,6,4,2,3,10,17,1,20,4,258,2,0,0.0,25
9762,4,0,6,5,3,3,10,17,1,20,4,258,2,0,0.0,32
9763,4,0,2,1,4,3,11,17,1,20,4,260,2,0,0.0,32
9764,4,0,7,1,4,3,12,17,1,0,0,258,1,0,0.0,6
9812,4,2,2,1,4,3,9,19,3,20,4,261,4,2,0.5,12
9820,0,1,3,1,4,3,9,20,4,17,1,260,2,2,1.0,16
9860,2,4,1,1,4,3,9,0,0,18,2,264,2,1,0.5,8
9876,4,2,2,1,4,3,9,18,2,20,4,264,3,1,0.3333333333333333,8
9923,0,2,5,1,1,3,9,3,3,17,1,265,2,2,1.0,12
9930,0,2,5,2,2,3,9,3,3,17,1,265,2,2,1.0,19
9937,0,2,5,3,2,3,9,3,3,17,1,265,2,2,1.0,26
9944,0,2,5,4,2,3,9,3,3,17,1,265,2,2,1.0,33
9951,0,2,5,5,3,3,9,3,3,17,1,265,2,2,1.0,40
9952,0,2,1,1,4,3,10,3,3,17,1,266,2,2,1.0,40
9959,4,0,6,1,1,3,9,17,1,20,4,265,2,0,0.0,4
9959,2,4,1,1,4,3,9,0,0,19,3,267,3,1,0.3333333333333333,8
9966,4,0,6,2,2,3,9,17,1,20,4,265,2,0,0.0,11
9973,4,0,6,3,2,3,9,17,1,20,4,265,2,0,0.0,18
9980,4,0,6,4,2,3,9,17,1,20,4,265,2,0,0.0,25
9983,4,2,2,1,4,3,9,19,3,20,4,267,4,2,0.5,12
9987,4,0,6,5,3,3,9,17,1,20,4,265,2,0,0.0,32
9988,4,0,2,1,4,3,10,17,1,20,4,266,2,0,0.0,32
9989,2,0,7,1,4,3,11,17,1,3,3,265,2,0,0.0,5
10062,0,1,3,1,4,3,9,20,4,17,1,266,2,2,1.0,16
10126,4,2,2,1,4,3,9,18,2,20,4,271,3,1,0.3333333333333333,8
10233,4,2,2,1,4,3,9,19,3,20,4,274,4,2,0.5,12
10325,1,4,1,1,4,3,9,0,0,21,5,278,2,1,0.5,8
10327,4,2,1,1,4,3,9,3,3,20,4,277,4,2,0.5,12
10436,2,4,1,1,4,3,9,0,0,22,6,280,3,1,0.3333333333333333,8
10441,4,2,1,1,4,3,9,3,3,20,4,281,4,2,0.5,12
10545,2,4,5,1,1,3,9,0,0,22,6,283,3,1,0.3333333333333333,8
10552,2,4,5,2,2,3,9,0,0,22,6,283,3,1,0.3333333333333333,15
10559,2,4,5,3,2,3,9,0,0,22,6,283,3,1,0.3333333333333333,22
10566,2,4,5,4,2,3,9,0,0,22,6,283,3,1,0.3333333333333333,29
10573,2,4,5,5,3,3,9,0,0,22,6,283,3,1,0.3333333333333333,36
10574,2,4,1,1,4,3,10,0,0,22,6,285,3,1,0.3333333333333333,36
10596,1,2,1,1,4,3,9,3,3,21,5,286,3,2,0.6666666666666666,12
10759,2,4,5,1,1,3,9,0,0,23,7,290,4,1,0.25,8
10766,2,4,5,2,2,3,9,0,0,23,7,290,4,1,0.25,15
10773,2,4,5,3,2,3,9,0,0,23,7,290,4,1,0.25,22
10780,2,4,5,4,2,3,9,0,0,23,7,290,4,1,0.25,29
