timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,sim,sim_traversal
3614,1,2,1,1,4,3,9,3,3,29,13,93,5,2,0.4,12,1,93
3690,1,4,1,1,4,3,9,0,0,29,13,95,4,1,0.25,8,1,95
3900,2,4,1,1,4,3,9,0,0,23,7,98,4,1,0.25,8,1,98
3928,4,2,1,1,4,3,9,3,3,24,8,99,5,2,0.4,12,1,99
4060,4,2,1,1,4,3,9,3,3,24,8,102,5,2,0.4,12,1,102
4170,1,2,1,1,4,3,9,3,3,29,13,105,5,2,0.4,12,1,105
4228,1,4,1,1,4,3,9,0,0,29,13,107,4,1,0.25,8,1,107
4340,2,4,1,1,4,3,9,0,0,31,15,110,6,1,0.16666666666666666,8,1,110
4379,1,2,1,1,4,3,9,3,3,29,13,111,5,2,0.4,12,1,111
4467,1,4,1,1,4,3,9,0,0,29,13,113,4,1,0.25,8,1,113
4482,1,2,1,1,4,3,9,3,3,29,13,114,5,2,0.4,12,1,114
4579,1,4,1,1,4,3,9,0,0,29,13,116,4,1,0.25,8,1,116
4614,4,2,1,1,4,3,9,3,3,16,0,117,3,2,0.6666666666666666,12,1,117
4716,4,2,1,1,4,3,9,3,3,16,0,119,3,2,0.6666666666666666,12,1,119
4839,0,2,1,1,4,3,9,3,3,17,1,123,2,2,1.0,12,1,123
4847,4,0,2,1,4,3,9,17,1,20,4,123,2,0,0.0,4,1,123
4903,0,1,1,1,4,3,9,15,15,17,1,124,5,5,1.0,24,1,124
4904,0,1,3,1,4,3,10,20,4,17,1,123,2,2,1.0,16,1,123
4911,4,0,2,1,4,3,10,17,1,20,4,124,2,0,0.0,4,1,124
4917,0,4,1,1,4,3,9,0,0,17,1,125,1,1,1.0,8,1,125
4925,4,0,2,1,4,3,11,17,1,20,4,125,2,0,0.0,4,1,125
4966,0,1,3,1,4,3,9,20,4,17,1,124,2,2,1.0,12,1,124
4988,0,1,3,1,4,3,9,20,4,17,1,125,2,2,1.0,12,1,125
5153,2,4,1,1,4,3,9,0,0,30,14,128,5,1,0.2,8,1,128
5266,1,2,1,1,4,3,9,3,3,25,9,131,4,2,0.5,12,1,131
5285,2,4,1,1,4,3,9,0,0,23,7,132,4,1,0.25,8,1,132
5382,1,4,1,1,4,3,9,0,0,25,9,135,3,1,0.3333333333333333,8,1,135
5457,1,2,1,1,4,3,9,3,3,25,9,137,4,2,0.5,12,1,137
5476,2,4,1,1,4,3,9,0,0,22,6,138,3,1,0.3333333333333333,8,1,138
5568,4,2,1,1,4,3,9,3,3,24,8,140,5,2,0.4,12,1,140
5570,1,4,1,1,4,3,9,0,0,25,9,141,3,1,0.3333333333333333,8,1,141
5674,1,2,1,1,4,3,9,3,3,25,9,144,4,2,0.5,12,1,144
5748,1,4,1,1,4,3,9,0,0,25,9,146,3,1,0.3333333333333333,8,1,146
5862,2,4,1,1,4,3,9,0,0,26,10,149,4,1,0.25,8,1,149
5969,2,4,1,1,4,3,9,0,0,27,11,152,5,1,0.2,8,1,152
6077,2,4,1,1,4,3,9,0,0,26,10,155,4,1,0.25,8,1,155
6193,2,4,1,1,4,3,9,0,0,23,7,158,4,1,0.25,8,1,158
6234,0,2,1,1,4,3,9,3,3,17,1,159,2,2,1.0,12,1,159
6242,4,0,2,1,4,3,12,17,1,20,4,159,2,0,0.0,4,1,159
6272,0,1,1,1,4,3,9,15,15,17,1,160,5,5,1.0,24,1,160
6280,4,0,2,1,4,3,9,17,1,20,4,160,2,0,0.0,4,1,160
6298,0,4,1,1,4,3,9,0,0,17,1,161,1,1,1.0,8,1,161
6299,0,1,3,1,4,3,9,20,4,17,1,159,2,2,1.0,17,1,159
6306,4,0,2,1,4,3,10,17,1,20,4,161,2,0,0.0,4,1,161
6332,0,1,3,1,4,3,9,20,4,17,1,160,2,2,1.0,12,1,160
6348,4,2,1,1,4,3,9,3,3,24,8,162,5,2,0.4,12,1,162
6359,0,1,3,1,4,3,9,20,4,17,1,161,2,2,1.0,13,1,161
6490,2,4,1,1,4,3,9,0,0,27,11,167,5,1,0.2,8,1,167
6552,4,2,1,1,4,3,9,3,3,20,4,168,4,2,0.5,12,1,168
6665,4,2,1,1,4,3,9,3,3,28,12,171,6,2,0.3333333333333333,12,1,171
6831,4,2,1,1,4,3,9,3,3,24,8,174,5,2,0.4,12,1,174
6954,1,2,1,1,4,3,9,3,3,25,9,177,4,2,0.5,12,1,177
6996,1,4,1,1,4,3,9,0,0,25,9,179,3,1,0.3333333333333333,8,1,179
7101,4,2,1,1,4,3,9,3,3,16,0,180,3,2,0.6666666666666666,12,1,180
7249,1,2,1,1,4,3,9,3,3,25,9,183,4,2,0.5,12,1,183
