router,time
0,5
1,9
2,13
3,17
7,21
7,60
7,61
7,62
7,63
6,64
6,65
6,66
7,67
6,67
5,68
5,69
5,70
6,71
5,71
4,72
4,73
4,74
5,75
4,75
0,76
0,77
0,78
4,79
0,79
0,83
0,98
4,102
8,106
8,144
8,145
8,146
8,147
4,148
4,149
4,150
8,151
4,151
0,152
0,153
0,154
4,155
0,155
0,159
0,200
1,204
2,208
6,212
6,250
6,251
6,252
6,253
5,254
5,255
5,256
6,257
5,257
4,258
4,259
4,260
5,261
4,261
0,262
0,263
0,264
4,265
0,265
0,269
0,304
1,308
2,312
3,316
7,320
7,356
7,357
7,358
7,359
6,360
6,361
6,362
7,363
6,363
5,364
5,365
5,366
6,367
5,367
4,368
4,369
4,370
5,371
4,371
0,372
0,373
0,374
4,375
0,375
0,379
0,402
1,406
5,410
5,448
5,449
5,450
5,451
4,452
4,453
4,454
5,455
4,455
0,456
0,457
0,458
4,459
0,459
0,463
0,488
1,492
1,530
1,531
1,532
1,533
0,534
0,535
0,536
1,537
0,537
0,541
0,554
1,558
2,562
3,566
7,570
7,606
7,607
7,608
7,609
6,610
6,611
6,612
7,613
6,613
5,614
5,615
5,616
6,617
5,617
4,618
4,619
4,620
5,621
4,621
0,622
0,623
0,624
4,625
0,625
0,629
0,640
1,644
1,680
1,681
1,682
1,683
0,684
0,685
0,686
1,687
0,687
0,691
0,726
1,730
2,734
6,738
10,742
14,746
14,784
14,785
14,786
14,787
13,788
13,789
13,790
14,791
13,791
12,792
12,793
12,794
13,795
12,795
8,796
8,797
8,798
12,799
8,799
4,800
4,801
4,802
8,803
4,803
0,804
0,805
0,806
4,807
0,807
0,811
0,826
1,830
2,834
3,838
7,842
11,846
11,884
11,885
11,886
11,887
10,888
10,889
10,890
11,891
10,891
9,892
9,893
9,894
10,895
9,895
8,896
8,897
8,898
9,899
8,899
4,900
4,901
4,902
8,903
4,903
0,904
0,905
0,906
4,907
0,907
0,911
0,930
1,934
5,938
9,942
9,980
9,981
9,982
9,983
8,984
8,985
8,986
9,987
8,987
4,988
4,989
4,990
8,991
4,991
0,992
0,993
0,994
4,995
0,995
0,999
0,1016
4,1020
4,1058
4,1059
4,1060
4,1061
0,1062
0,1063
0,1064
4,1065
0,1065
0,1069
0,1086
4,1090
8,1094
12,1098
12,1136
12,1137
12,1138
12,1139
8,1140
8,1141
8,1142
12,1143
8,1143
4,1144
4,1145
4,1146
8,1147
4,1147
0,1148
0,1149
0,1150
4,1151
0,1151
0,1155
0,1188
1,1192
2,1196
6,1200
10,1204
10,1242
10,1243
10,1244
10,1245
9,1246
9,1247
9,1248
10,1249
9,1249
8,1250
8,1251
8,1252
9,1253
8,1253
4,1254
4,1255
4,1256
8,1257
4,1257
0,1258
0,1259
0,1260
4,1261
0,1261
0,1265
0,1280
1,1284
5,1288
9,1292
13,1296
13,1334
13,1335
13,1336
13,1337
12,1338
12,1339
12,1340
13,1341
12,1341
8,1342
8,1343
8,1344
12,1345
8,1345
4,1346
4,1347
4,1348
8,1349
4,1349
0,1350
0,1351
0,1352
4,1353
0,1353
0,1357
0,1374
1,1378
5,1382
5,1418
5,1419
5,1420
5,1421
4,1422
4,1423
4,1424
5,1425
4,1425
0,1426
0,1427
0,1428
4,1429
0,1429
0,1433
0,1466
1,1470
2,1474
6,1478
10,1482
14,1486
14,1522
14,1523
14,1524
14,1525
13,1526
13,1527
13,1528
14,1529
13,1529
12,1530
12,1531
12,1532
13,1533
12,1533
8,1534
8,1535
8,1536
12,1537
8,1537
4,1538
4,1539
4,1540
8,1541
4,1541
0,1542
0,1543
0,1544
4,1545
0,1545
0,1549
0,1568
4,1572
4,1608
4,1609
4,1610
4,1611
0,1612
0,1613
0,1614
4,1615
0,1615
0,1619
0,1634
1,1638
1,1674
1,1675
1,1676
1,1677
0,1678
0,1679
0,1680
1,1681
0,1681
0,1685
0,1718
1,1722
2,1726
6,1730
6,1766
6,1767
6,1768
6,1769
5,1770
5,1771
5,1772
6,1773
5,1773
4,1774
4,1775
4,1776
5,1777
4,1777
0,1778
0,1779
0,1780
4,1781
0,1781
0,1785
0,1812
1,1816
2,1820
3,1824
3,1862
3,1863
3,1864
3,1865
2,1866
2,1867
2,1868
3,1869
2,1869
1,1870
1,1871
1,1872
2,1873
1,1873
0,1874
0,1875
0,1876
1,1877
0,1877
0,1881
0,1920
1,1924
1,1960
1,1961
1,1962
1,1963
0,1964
0,1965
