time_intervals,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,target
8600,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8700,6,6,8,5,0,0,0,0,0,0,0,0,0,0,0,0,1
8800,12,5,3,1,6,0,0,0,0,0,0,0,0,0,0,0,1
8900,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1
9000,7,1,0,0,5,6,0,0,0,0,0,0,0,0,0,0,1
9100,7,2,2,0,5,5,6,0,0,0,0,0,0,0,0,0,1
9200,5,5,5,0,3,5,12,0,0,0,0,0,0,0,0,0,1
9300,11,6,4,4,3,1,0,3,0,0,0,0,0,0,0,0,1
9400,6,0,2,2,6,6,6,9,0,0,0,0,0,0,0,0,1
9500,7,1,1,1,5,5,5,6,0,0,0,0,0,0,0,0,1
9600,6,2,1,0,5,1,1,0,5,6,0,0,0,0,0,0,1
9700,7,2,1,0,5,0,1,0,5,5,6,0,0,0,0,0,1
9800,5,4,5,0,1,0,5,0,5,6,12,0,0,0,0,0,1
9900,6,1,1,1,5,0,0,1,3,4,5,6,0,0,0,0,1
10000,6,1,1,1,7,0,0,1,7,6,5,6,0,0,0,0,1
10100,14,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1
10200,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10300,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,1
10400,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1
10500,7,7,6,5,0,0,1,0,0,0,0,0,0,0,0,0,1
10600,5,4,5,0,1,0,5,0,5,6,12,0,0,0,0,0,1
10700,11,6,6,0,5,0,6,0,1,0,6,0,0,0,6,0,1
10800,7,1,1,0,6,0,1,0,6,0,0,0,6,6,6,0,1
10900,11,0,0,0,11,5,5,0,0,0,0,0,0,0,0,0,1
11000,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1
11100,5,1,1,1,5,0,0,1,5,5,5,6,0,0,0,0,1
11200,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1
11300,6,6,5,5,0,1,0,0,0,0,0,0,0,0,0,0,1
