time_intervals,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,pkt_get,pkt_data,pkt_put,pkt_ack,inport_local,inport_north,inport_south,inport_east,inport_west,outport_local,outport_north,outport_south,outport_east,outport_west,target,tot_packets,tot_mean
8000,61,95,34,15,39,40,6,8,34,40,6,7,16,33,11,6,66,321,55,9,132,131,102,50,36,133,50,36,130,102,0,445,29.666666666666668
8000,60,22,10,3,38,11,6,8,33,17,6,7,10,10,11,6,39,185,30,4,60,77,71,25,25,60,25,25,77,71,1,252,16.8
9000,77,115,35,15,37,63,23,13,13,26,23,6,6,5,0,0,68,345,35,9,139,107,123,31,57,138,31,58,107,123,0,457,30.466666666666665
9000,73,49,30,12,23,6,6,0,6,6,12,0,0,0,0,0,29,150,35,9,73,27,79,15,29,72,15,30,27,79,1,223,14.866666666666667
10000,75,91,34,16,53,62,50,21,26,53,40,18,0,5,6,0,78,382,75,15,143,132,153,48,74,136,48,73,139,154,0,550,36.666666666666664
10000,66,24,23,9,45,23,36,20,25,27,28,12,0,0,0,0,43,211,70,14,71,66,111,34,56,67,34,55,70,112,1,338,22.533333333333335
11000,88,104,39,25,53,42,19,1,23,35,24,6,12,29,18,0,67,323,110,18,139,136,103,68,72,146,68,73,129,102,0,518,34.53333333333333
11000,84,37,25,12,38,5,18,0,19,6,18,0,12,6,12,0,29,149,95,19,79,64,59,40,50,83,40,51,60,58,1,292,19.466666666666665
12000,79,110,77,45,62,28,14,3,39,22,20,3,21,31,39,18,72,379,130,30,155,134,172,70,80,151,70,79,134,177,0,593,39.53333333333333
12000,72,29,28,15,44,6,13,3,27,11,24,8,16,16,23,12,45,200,85,17,72,81,92,48,54,73,48,53,81,92,1,335,22.333333333333332
13000,71,38,31,12,33,17,24,0,5,0,6,0,5,5,5,0,33,170,45,4,71,41,82,22,36,71,22,36,41,82,1,252,16.8
13000,91,107,50,12,53,52,30,0,12,11,12,0,0,0,0,0,56,266,90,18,146,71,109,44,60,151,44,60,71,104,0,430,28.666666666666668
14000,73,34,33,3,38,22,22,13,17,6,6,1,5,5,5,6,37,205,35,12,73,58,106,14,38,72,14,39,58,106,1,283,18.866666666666667
14000,83,125,75,23,44,48,31,15,11,21,9,3,5,26,34,18,71,360,121,19,157,115,163,51,85,155,53,85,115,163,0,553,36.86666666666667
15000,77,44,31,12,34,23,6,6,24,24,0,0,0,0,0,0,32,140,95,14,77,46,64,44,50,78,44,49,46,64,1,281,18.733333333333334
15000,79,95,39,15,40,65,22,14,24,45,15,7,0,11,16,6,62,300,109,22,129,119,113,68,64,131,66,64,119,113,0,487,32.46666666666667
16000,80,76,28,20,35,44,14,8,17,37,17,7,11,16,5,6,58,290,60,13,115,112,104,32,58,114,32,59,112,104,0,415,27.666666666666668
16000,84,37,24,19,33,12,10,7,10,5,6,1,5,5,5,6,29,165,61,14,84,42,87,15,41,81,16,43,42,87,1,263,17.533333333333335
17000,48,12,5,1,38,17,21,6,16,1,1,0,10,11,6,0,30,155,4,4,48,61,57,14,13,51,13,11,61,57,1,193,12.866666666666667
17000,61,57,17,8,50,34,19,7,16,12,2,1,10,21,17,6,52,264,15,7,96,96,94,25,27,96,25,26,97,94,0,332,22.133333333333333
18000,36,5,3,1,31,2,2,1,31,17,12,6,16,11,6,0,30,150,0,0,36,75,45,15,9,36,15,9,75,45,1,180,12.0
18000,37,42,7,3,32,33,14,8,37,32,18,7,16,11,6,1,53,251,0,0,72,121,66,25,20,73,25,20,120,66,0,303,20.2
19000,42,20,13,7,16,6,0,1,5,0,0,1,5,5,5,6,22,110,0,0,42,25,50,5,10,42,5,10,25,50,1,126,8.4
19000,49,68,25,13,17,34,6,7,6,28,11,12,11,28,23,17,42,235,65,13,90,101,85,46,33,90,46,33,101,85,0,338,22.533333333333335
20000,42,10,9,7,32,12,13,13,21,16,11,6,0,0,0,0,27,135,25,5,42,51,58,15,26,42,15,26,51,58,1,192,12.8
20000,60,76,27,7,33,26,13,13,22,21,11,6,6,5,0,0,42,212,60,12,110,67,76,24,49,108,24,49,69,76,0,326,21.733333333333334
21000,42,9,2,1,21,1,1,1,21,1,1,1,21,16,11,6,25,115,15,1,42,60,30,12,12,42,12,12,60,30,1,150,10.0
21000,49,92,44,31,27,21,19,13,21,1,1,1,21,16,11,6,48,248,65,13,123,82,92,25,52,125,25,52,80,92,0,368,24.533333333333335
22000,67,106,51,31,35,56,19,24,5,35,19,12,5,23,18,0,57,281,140,28,138,111,103,71,83,135,71,83,114,103,0,506,33.733333333333334
22000,60,37,31,18,23,0,1,6,5,0,1,0,5,5,6,0,22,95,70,11,60,26,46,16,50,60,16,50,26,46,1,198,13.2
23000,73,20,7,0,41,18,13,6,24,18,12,0,0,0,0,0,24,125,65,18,73,52,46,39,22,73,39,22,52,46,1,232,15.466666666666667
23000,92,91,39,19,41,35,12,7,30,35,12,7,0,11,11,18,55,249,130,26,140,98,86,64,72,142,64,73,95,86,0,442,29.466666666666665
24000,98,92,27,3,69,65,33,18,36,22,18,0,18,18,12,0,58,315,130,26,149,135,105,73,67,150,73,66,135,105,0,529,35.266666666666666
24000,77,22,15,2,55,32,33,12,30,12,18,0,18,18,12,0,40,220,80,16,77,98,85,57,39,77,57,39,98,85,1,356,23.733333333333334
25000,73,38,25,12,17,18,0,0,0,0,0,0,0,0,0,0,22,95,55,11,73,16,46,8,40,73,8,40,16,46,1,183,12.2
25000,73,116,50,18,18,70,19,6,1,34,12,6,6,29,18,12,53,255,150,30,144,107,86,79,72,144,79,72,107,86,0,476,31.733333333333334
26000,65,32,31,19,33,16,11,12,6,6,6,12,0,0,0,0,27,150,60,12,65,33,86,21,44,65,21,44,33,86,1,249,16.6
26000,77,111,74,56,33,39,16,30,6,24,12,30,0,6,6,12,53,275,171,33,150,78,146,54,104,149,54,105,78,146,0,520,34.666666666666664
27000,68,17,9,7,44,20,7,13,32,17,11,6,5,6,0,0,32,160,59,11,68,69,59,33,33,66,33,35,69,59,1,262,17.466666666666665
27000,70,102,64,26,45,49,31,25,33,34,17,6,11,23,12,0,59,300,158,31,153,129,108,69,89,150,70,90,129,109,0,548,36.53333333333333
28000,78,103,41,24,41,43,24,19,28,31,23,12,17,37,37,12,63,270,196,41,136,127,101,112,94,140,111,92,127,100,0,558,37.2
28000,71,38,24,19,22,2,6,7,22,7,11,12,17,18,18,12,35,155,96,20,71,61,74,43,57,73,43,55,61,74,1,294,19.6
29000,89,106,51,8,37,21,19,8,37,33,19,8,21,44,63,24,60,336,160,32,154,153,121,85,75,149,85,75,158,121,0,564,37.6
29000,66,22,21,2,37,1,7,2,37,11,7,2,21,21,28,12,37,205,46,9,66,93,74,31,33,66,31,33,93,74,1,285,19.0
30000,77,31,7,6,23,0,1,6,23,6,7,12,17,5,6,0,22,110,79,16,77,45,40,33,32,77,33,32,45,40,1,227,15.133333333333333
30000,83,96,26,19,29,38,13,19,35,36,12,30,17,17,18,24,49,253,175,35,138,128,85,91,70,142,91,70,123,86,0,488,32.53333333333333
31000,86,121,61,30,24,29,7,0,12,17,7,0,17,28,18,0,46,221,160,30,156,72,94,54,81,157,54,81,72,93,0,457,30.466666666666665
31000,84,55,43,12,5,0,7,0,5,0,7,0,5,5,12,0,26,100,100,14,84,15,58,21,62,84,21,62,15,58,1,240,16.0
32000,55,25,25,19,30,0,6,18,30,6,12,24,24,24,30,24,30,160,130,32,55,84,78,66,69,55,66,69,84,78,1,328,21.866666666666667
32000,62,109,62,37,31,27,17,24,30,17,12,24,18,18,24,24,55,270,177,34,133,102,126,78,97,132,78,98,102,126,0,512,34.13333333333333
33000,72,38,25,24,34,19,7,13,10,11,6,1,0,0,0,0,31,145,70,14,72,38,77,24,49,72,24,49,38,77,1,260,17.333333333333332
33000,78,111,39,25,46,67,31,25,22,29,22,6,0,0,0,0,53,249,163,36,150,96,97,68,90,145,68,90,96,102,0,501,33.4
34000,73,37,30,6,35,18,12,0,11,5,5,5,6,0,0,0,23,145,63,12,73,43,70,21,36,71,21,38,43,70,1,243,16.2
34000,89,113,48,19,41,53,18,7,17,40,12,12,18,30,18,12,49,276,185,37,143,125,104,95,80,149,95,79,125,99,0,535,35.666666666666664
35000,73,91,38,18,42,53,31,24,36,60,48,24,6,7,12,0,58,265,200,40,133,138,89,117,86,133,117,86,138,89,0,563,37.53333333333333
35000,70,24,13,12,47,18,7,18,41,29,12,12,12,6,0,0,32,135,132,22,70,70,52,80,49,72,80,47,70,52,1,321,21.4
36000,90,87,20,8,34,30,11,13,39,19,6,7,33,34,23,18,55,285,110,22,132,129,84,68,59,132,68,59,129,84,0,454,30.266666666666666
36000,55,10,3,1,27,1,2,1,27,1,2,1,21,22,12,6,31,150,5,6,55,73,41,14,9,55,14,9,73,41,1,186,12.4
37000,77,25,13,13,46,18,6,19,22,6,6,13,16,10,10,6,30,180,80,16,77,75,72,36,46,77,36,46,75,72,1,300,20.0
37000,80,103,35,21,59,61,8,21,23,31,18,20,22,20,16,12,66,325,135,24,156,147,105,61,81,155,61,82,147,105,0,538,35.86666666666667
38000,72,43,25,13,11,6,0,1,11,12,0,1,5,5,5,6,26,130,50,10,72,27,69,15,33,72,15,33,27,69,1,210,14.0
38000,77,120,62,44,11,23,6,6,11,29,6,6,5,22,22,12,58,289,98,17,149,75,126,47,65,147,49,64,75,127,0,450,30.0
39000,80,100,15,1,70,80,35,8,36,25,12,8,30,24,12,0,59,281,162,34,151,131,87,115,52,154,113,52,131,86,0,536,35.733333333333334
39000,72,26,14,7,46,28,17,12,24,12,12,12,12,18,12,0,34,170,100,20,72,79,67,59,47,72,59,47,79,67,1,324,21.6
40000,67,7,5,2,60,7,8,2,55,17,12,7,28,11,6,1,48,205,35,7,67,110,55,49,14,67,49,14,110,55,1,294,19.6
40000,67,72,29,14,60,42,26,14,61,46,18,19,22,31,34,30,68,351,135,31,131,192,103,103,56,126,103,56,192,108,0,555,37.0
41000,110,124,36,18,56,30,18,18,43,42,42,30,13,15,19,12,49,269,259,49,160,129,114,121,102,163,122,102,129,110,0,614,40.93333333333333
41000,77,36,18,6,41,6,12,6,41,24,24,12,11,11,17,5,26,165,130,26,77,81,69,66,54,77,66,54,81,69,1,342,22.8
