Index,Router,Time
811,0,3528
812,4,3532
813,8,3536
814,8,3574
815,8,3575
816,8,3576
817,8,3577
818,4,3578
819,4,3579
820,4,3580
821,8,3581
822,4,3581
823,0,3582
824,0,3583
825,0,3584
826,4,3585
827,0,3585
828,0,3589
829,0,3616
830,1,3620
831,5,3624
832,9,3628
833,13,3632
834,13,3668
835,13,3669
836,13,3670
837,13,3671
838,12,3672
839,12,3673
840,12,3674
841,13,3675
842,12,3675
843,8,3676
844,8,3677
845,8,3678
846,12,3679
847,8,3679
848,4,3680
849,4,3681
850,4,3682
851,8,3683
852,4,3683
853,0,3684
854,0,3685
855,0,3686
856,4,3687
857,0,3687
858,0,3691
859,0,3704
860,1,3708
861,2,3712
862,3,3716
863,7,3720
864,11,3724
865,15,3728
866,15,3766
867,15,3767
868,15,3768
869,15,3769
870,14,3770
871,14,3771
872,14,3772
873,15,3773
874,14,3773
875,13,3774
876,13,3775
877,13,3776
878,14,3777
879,13,3777
880,12,3778
881,12,3779
882,12,3780
883,13,3781
884,12,3781
885,8,3782
886,8,3783
887,8,3784
888,12,3785
889,8,3785
890,4,3786
891,4,3787
892,4,3788
893,8,3789
894,4,3789
895,0,3790
896,0,3791
897,0,3792
898,4,3793
899,0,3793
900,0,3797
901,0,3824
902,1,3828
903,5,3832
904,9,3836
905,13,3840
906,13,3876
907,13,3877
908,13,3878
909,13,3879
910,12,3880
911,12,3881
912,12,3882
913,13,3883
914,12,3883
915,8,3884
916,8,3885
917,8,3886
918,12,3887
919,8,3887
920,4,3888
921,4,3889
922,4,3890
923,8,3891
924,4,3891
925,0,3892
926,0,3893
927,0,3894
928,4,3895
929,0,3895
930,0,3899
931,0,3910
932,1,3914
933,5,3918
934,9,3922
935,13,3926
936,13,3962
937,13,3963
938,13,3964
939,13,3965
940,12,3966
941,12,3967
942,12,3968
943,13,3969
944,12,3969
945,8,3970
946,8,3971
947,8,3972
948,12,3973
949,8,3973
950,4,3974
951,4,3975
952,4,3976
953,8,3977
954,4,3977
955,0,3978
956,0,3979
957,0,3980
958,4,3981
959,0,3981
960,0,3985
961,0,4026
962,0,4062
963,0,4063
964,0,4064
965,0,4065
966,0,4069
967,0,4084
968,0,4120
969,0,4121
970,0,4122
971,0,4123
972,0,4127
973,0,4166
974,1,4170
975,1,4206
976,1,4207
977,1,4208
978,1,4209
979,0,4210
980,0,4211
981,0,4212
982,1,4213
983,0,4213
984,0,4217
985,0,4374
986,1,4378
987,2,4382
988,6,4386
989,10,4390
990,14,4394
991,14,4430
992,14,4431
993,14,4432
994,14,4433
995,13,4434
996,13,4435
997,13,4436
998,14,4437
999,13,4437
1000,12,4438
1001,12,4439
1002,12,4440
1003,13,4441
1004,12,4441
1005,8,4442
1006,8,4443
1007,8,4444
1008,12,4445
1009,8,4445
1010,4,4446
1011,4,4447
1012,4,4448
1013,8,4449
1014,4,4449
1015,0,4450
1016,0,4451
1017,0,4452
1018,4,4453
1019,0,4453
1020,0,4457
1021,0,4488
1022,1,4492
1023,2,4496
1024,3,4500
1025,7,4504
1026,7,4540
1027,7,4541
1028,7,4542
1029,7,4543
1030,6,4544
1031,6,4545
1032,6,4546
1033,7,4547
1034,6,4547
1035,5,4548
1036,5,4549
1037,5,4550
1038,6,4551
1039,5,4551
1040,4,4552
1041,4,4553
1042,4,4554
1043,5,4555
1044,4,4555
1045,0,4556
1046,0,4557
1047,0,4558
1048,4,4559
1049,0,4559
1050,0,4563
1051,0,4584
1052,1,4588
1053,5,4592
1054,9,4596
1055,9,4632
1056,9,4633
1057,9,4634
1058,9,4635
1059,8,4636
1060,8,4637
1061,8,4638
1062,9,4639
1063,8,4639
1064,4,4640
1065,4,4641
1066,4,4642
1067,8,4643
1068,4,4643
1069,0,4644
1070,0,4645
1071,0,4646
1072,4,4647
1073,0,4647
1074,0,4651
1075,0,4670
1076,1,4674
1077,2,4678
1078,6,4682
1079,6,4718
1080,6,4719
1081,6,4720
1082,6,4721
1083,5,4722
1084,5,4723
1085,5,4724
1086,6,4725
1087,5,4725
1088,4,4726
1089,4,4727
1090,4,4728
1091,5,4729
1092,4,4729
1093,0,4730
1094,0,4731
1095,0,4732
1096,4,4733
1097,0,4733
1098,0,4737
1099,0,4748
1100,1,4752
1101,5,4756
1102,9,4760
1103,9,4796
1104,9,4797
1105,9,4798
1106,9,4799
1107,8,4800
1108,8,4801
1109,8,4802
1110,9,4803
1111,8,4803
1112,4,4804
1113,4,4805
1114,4,4806
1115,8,4807
1116,4,4807
1117,0,4808
1118,0,4809
1119,0,4810
1120,4,4811
1121,0,4811
1122,0,4815
1123,0,4834
1124,4,4838
1125,8,4842
1126,8,4878
1127,8,4879
1128,8,4880
1129,8,4881
1130,4,4882
1131,4,4883
1132,4,4884
1133,8,4885
1134,4,4885
1135,0,4886
1136,0,4887
1137,0,4888
1138,4,4889
1139,0,4889
1140,0,4893
1141,0,4916
1142,1,4920
1143,5,4924
1144,9,4928
1145,9,4964
1146,9,4965
1147,9,4966
1148,9,4967
1149,8,4968
1150,8,4969
1151,8,4970
1152,9,4971
1153,8,4971
1154,4,4972
1155,4,4973
1156,4,4974
1157,8,4975
1158,4,4975
1159,0,4976
1160,0,4977
1161,0,4978
1162,4,4979
1163,0,4979
1164,0,4983
1165,0,5022
1166,1,5026
1167,2,5030
1168,6,5034
1169,10,5038
1170,10,5074
1171,10,5075
1172,10,5076
1173,10,5077
1174,9,5078
1175,9,5079
1176,9,5080
1177,10,5081
1178,9,5081
1179,8,5082
1180,8,5083
1181,8,5084
1182,9,5085
1183,8,5085
1184,4,5086
1185,4,5087
1186,4,5088
1187,8,5089
1188,4,5089
1189,0,5090
1190,0,5091
1191,0,5092
1192,4,5093
1193,0,5093
1194,0,5097
1195,0,5120
1196,1,5124
1197,2,5128
1198,3,5132
1199,7,5136
1200,11,5140
1201,11,5176
1202,11,5177
1203,11,5178
1204,11,5179
1205,10,5180
1206,10,5181
1207,10,5182
1208,11,5183
1209,10,5183
1210,9,5184
1211,9,5185
1212,9,5186
1213,10,5187
1214,9,5187
1215,8,5188
1216,8,5189
1217,8,5190
1218,9,5191
1219,8,5191
1220,4,5192
1221,4,5193
1222,4,5194
1223,8,5195
1224,4,5195
1225,0,5196
1226,0,5197
1227,0,5198
1228,4,5199
1229,0,5199
1230,0,5203
1231,0,5218
1232,1,5222
1233,2,5226
1234,6,5230
1235,10,5234
1236,10,5270
1237,10,5271
1238,10,5272
1239,10,5273
1240,9,5274
1241,9,5275
1242,9,5276
1243,10,5277
1244,9,5277
1245,8,5278
1246,8,5279
1247,8,5280
1248,9,5281
1249,8,5281
1250,4,5282
1251,4,5283
1252,4,5284
1253,8,5285
1254,4,5285
1255,0,5286
1256,0,5287
1257,0,5288
1258,4,5289
1259,0,5289
1260,0,5293
1261,0,5324
1262,1,5328
1263,2,5332
1264,3,5336
1265,7,5340
1266,7,5376
1267,7,5377
1268,7,5378
1269,7,5379
1270,6,5380
1271,6,5381
1272,6,5382
1273,7,5383
1274,6,5383
1275,5,5384
1276,5,5385
1277,5,5386
1278,6,5387
1279,5,5387
1280,4,5388
1281,4,5389
1282,4,5390
1283,5,5391
1284,4,5391
1285,0,5392
1286,0,5393
1287,0,5394
1288,4,5395
1289,0,5395
1290,0,5399
1291,0,5428
1292,1,5432
1293,1,5468
1294,1,5469
1295,1,5470
1296,1,5471
1297,0,5472
1298,0,5473
1299,0,5474
1300,1,5475
1301,0,5475
1302,0,5479
1303,0,5510
1304,4,5514
1305,8,5518
1306,8,5554
1307,8,5555
1308,8,5556
1309,8,5557
1310,4,5558
1311,4,5559
1312,4,5560
1313,8,5561
1314,4,5561
1315,0,5562
1316,0,5563
1317,0,5564
1318,4,5565
1319,0,5565
1320,0,5569
1321,0,5582
1322,1,5586
1323,2,5590
1324,3,5594
1325,7,5598
1326,11,5602
1327,11,5638
1328,11,5639
1329,11,5640
1330,11,5641
1331,10,5642
1332,10,5643
1333,10,5644
1334,11,5645
1335,10,5645
1336,9,5646
1337,9,5647
1338,9,5648
1339,10,5649
1340,9,5649
1341,8,5650
1342,8,5651
1343,8,5652
1344,9,5653
1345,8,5653
1346,4,5654
1347,4,5655
1348,4,5656
1349,8,5657
1350,4,5657
1351,0,5658
1352,0,5659
1353,0,5660
1354,4,5661
1355,0,5661
1356,0,5665
1357,0,5682
1358,4,5686
1359,4,5722
1360,4,5723
1361,4,5724
1362,4,5725
1363,0,5726
1364,0,5727
1365,0,5728
1366,4,5729
1367,0,5729
1368,0,5733
1369,0,5762
1370,4,5766
1371,8,5770
1372,12,5774
1373,12,5814
1374,12,5815
1375,12,5816
1376,12,5817
1377,8,5818
1378,8,5819
1379,8,5820
1380,12,5821
1381,8,5821
1382,4,5822
1383,4,5823
1384,4,5824
1385,8,5825
1386,4,5825
1387,0,5826
1388,0,5827
1389,0,5828
1390,4,5829
1391,0,5829
1392,0,5833
1393,0,5898
1394,4,5902
1395,8,5906
1396,8,5942
1397,8,5943
1398,8,5944
1399,8,5945
1400,4,5946
1401,4,5947
1402,4,5948
1403,8,5949
1404,4,5949
1405,0,5950
1406,0,5951
1407,0,5952
1408,4,5953
1409,0,5953
1410,0,5957
1411,0,5996
1412,1,6000
1413,5,6004
1414,9,6008
1415,9,6044
1416,9,6045
1417,9,6046
1418,9,6047
1419,8,6048
1420,8,6049
1421,8,6050
1422,9,6051
1423,8,6051
1424,4,6052
1425,4,6053
1426,4,6054
1427,8,6055
1428,4,6055
1429,0,6056
1430,0,6057
1431,0,6058
1432,4,6059
1433,0,6059
1434,0,6063
1435,0,6118
1436,0,6154
1437,0,6155
1438,0,6156
1439,0,6157
1440,0,6161
1441,0,6224
1442,1,6228
1443,5,6232
1444,9,6236
1445,9,6272
1446,9,6273
1447,9,6274
1448,9,6275
1449,8,6276
1450,8,6277
1451,8,6278
1452,9,6279
1453,8,6279
1454,4,6280
1455,4,6281
1456,4,6282
1457,8,6283
1458,4,6283
1459,0,6284
1460,0,6285
1461,0,6286
1462,4,6287
1463,0,6287
1464,0,6291
1465,0,6316
1466,1,6320
1467,2,6324
1468,3,6328
1469,3,6364
1470,3,6365
1471,3,6366
1472,3,6367
1473,2,6368
1474,2,6369
1475,2,6370
1476,3,6371
1477,2,6371
1478,1,6372
1479,1,6373
1480,1,6374
1481,2,6375
1482,1,6375
1483,0,6376
1484,0,6377
1485,0,6378
1486,1,6379
1487,0,6379
1488,0,6383
1489,0,6422
1490,4,6426
1491,4,6462
1492,4,6463
1493,4,6464
1494,4,6465
1495,0,6466
1496,0,6467
1497,0,6468
1498,4,6469
1499,0,6469
1500,0,6473
1501,0,6528
1502,0,6564
1503,0,6565
1504,0,6566
1505,0,6567
1506,0,6571
1507,0,6676
1508,1,6680
1509,5,6684
1510,9,6688
1511,13,6692
1512,13,6728
1513,13,6729
1514,13,6730
1515,13,6731
1516,12,6732
1517,12,6733
1518,12,6734
1519,13,6735
1520,12,6735
1521,8,6736
1522,8,6737
1523,8,6738
1524,12,6739
1525,8,6739
1526,4,6740
1527,4,6741
1528,4,6742
1529,8,6743
1530,4,6743
1531,0,6744
1532,0,6745
1533,0,6746
1534,4,6747
1535,0,6747
1536,0,6751
1537,0,6776
1538,0,6812
1539,0,6813
1540,0,6814
1541,0,6815
1542,0,6819
1543,0,6838
1544,1,6842
1545,2,6846
1546,6,6850
1547,10,6854
1548,10,6890
1549,10,6891
1550,10,6892
1551,10,6893
1552,9,6894
1553,9,6895
1554,9,6896
1555,10,6897
1556,9,6897
1557,8,6898
1558,8,6899
1559,8,6900
1560,9,6901
1561,8,6901
1562,4,6902
1563,4,6903
1564,4,6904
1565,8,6905
1566,4,6905
1567,0,6906
1568,0,6907
1569,0,6908
1570,4,6909
1571,0,6909
1572,0,6913
1573,0,6938
1574,1,6942
1575,1,6978
1576,1,6979
1577,1,6980
1578,1,6981
1579,0,6982
1580,0,6983
1581,0,6984
1582,1,6985
1583,0,6985
1584,0,6989
1585,0,7012
1586,1,7016
1587,2,7020
1588,2,7056
1589,2,7057
1590,2,7058
1591,2,7059
1592,1,7060
1593,1,7061
1594,1,7062
1595,2,7063
1596,1,7063
1597,0,7064
1598,0,7065
1599,0,7066
1600,1,7067
1601,0,7067
1602,0,7071
1603,0,7130
1604,1,7134
1605,2,7138
1606,3,7142
1607,7,7146
1608,7,7182
1609,7,7183
1610,7,7184
1611,7,7185
1612,6,7186
1613,6,7187
1614,6,7188
1615,7,7189
1616,6,7189
1617,5,7190
1618,5,7191
1619,5,7192
1620,6,7193
1621,5,7193
1622,4,7194
1623,4,7195
1624,4,7196
1625,5,7197
1626,4,7197
1627,0,7198
1628,0,7199
1629,0,7200
1630,4,7201
1631,0,7201
1632,0,7205
1633,0,7238
1634,4,7242
1635,8,7246
1636,8,7282
1637,8,7283
1638,8,7284
1639,8,7285
1640,4,7286
1641,4,7287
1642,4,7288
1643,8,7289
1644,4,7289
1645,0,7290
1646,0,7291
1647,0,7292
1648,4,7293
1649,0,7293
1650,0,7297
1651,0,7338
1652,1,7342
1653,2,7346
1654,3,7350
1655,7,7354
1656,11,7358
1657,11,7394
1658,11,7395
1659,11,7396
1660,11,7397
1661,10,7398
1662,10,7399
1663,10,7400
1664,11,7401
1665,10,7401
1666,9,7402
1667,9,7403
1668,9,7404
1669,10,7405
1670,9,7405
1671,8,7406
1672,8,7407
1673,8,7408
1674,9,7409
1675,8,7409
1676,4,7410
1677,4,7411
1678,4,7412
1679,8,7413
1680,4,7413
1681,0,7414
1682,0,7415
1683,0,7416
1684,4,7417
1685,0,7417
1686,0,7421
1687,0,7434
1688,4,7438
1689,8,7442
1690,8,7478
1691,8,7479
1692,8,7480
1693,8,7481
1694,4,7482
1695,4,7483
1696,4,7484
1697,8,7485
1698,4,7485
1699,0,7486
1700,0,7487
1701,0,7488
1702,4,7489
1703,0,7489
1704,0,7493
1705,0,7512
1706,1,7516
1707,0,7519
1708,5,7520
1709,1,7523
1710,9,7524
1711,0,7526
1712,5,7527
1713,1,7530
1714,9,7531
1715,0,7533
1716,5,7534
1717,1,7537
1718,9,7538
1719,0,7540
1720,0,7541
1721,5,7541
1722,1,7544
1723,9,7545
1724,1,7545
1725,5,7548
1726,5,7549
1727,9,7552
1728,9,7553
1729,9,7588
1730,8,7592
1731,4,7596
1732,0,7600
1733,9,7610
1734,9,7611
1735,9,7612
1736,9,7613
1737,8,7614
1738,8,7615
1739,8,7616
1740,9,7617
1741,8,7617
1742,4,7618
1743,4,7619
1744,4,7620
1745,8,7621
1746,4,7621
1747,0,7622
1748,0,7623
1749,0,7624
1750,4,7625
1751,0,7625
1752,0,7629
1753,0,7694
1754,1,7698
1755,2,7702
1756,6,7706
1757,10,7710
1758,14,7714
1759,14,7750
1760,14,7751
1761,14,7752
1762,14,7753
1763,13,7754
1764,13,7755
1765,13,7756
1766,14,7757
1767,13,7757
1768,12,7758
1769,12,7759
1770,12,7760
1771,13,7761
1772,12,7761
1773,8,7762
1774,8,7763
1775,8,7764
1776,12,7765
1777,8,7765
1778,4,7766
1779,4,7767
1780,4,7768
1781,8,7769
1782,4,7769
1783,0,7770
1784,0,7771
1785,0,7772
1786,4,7773
1787,0,7773
1788,0,7777
1789,0,7796
1790,1,7800
1791,2,7804
1792,3,7808
1793,7,7812
1794,11,7816
1795,15,7820
1796,15,7856
1797,15,7857
1798,15,7858
1799,15,7859
1800,14,7860
1801,14,7861
1802,14,7862
1803,15,7863
1804,14,7863
1805,13,7864
1806,13,7865
1807,13,7866
1808,14,7867
1809,13,7867
1810,12,7868
1811,12,7869
1812,12,7870
1813,13,7871
1814,12,7871
1815,8,7872
1816,8,7873
1817,8,7874
1818,12,7875
1819,8,7875
1820,4,7876
1821,4,7877
1822,4,7878
1823,8,7879
1824,4,7879
1825,0,7880
1826,0,7881
1827,0,7882
1828,4,7883
1829,0,7883
1830,0,7887
1831,0,7938
1832,1,7942
1833,0,7945
1834,1,7949
1835,0,7952
1836,1,7956
1837,0,7959
1838,1,7963
1839,0,7966
1840,0,7967
1841,1,7970
1842,1,7971
1843,1,8006
1844,0,8010
1845,1,8028
1846,1,8029
1847,1,8030
1848,1,8031
1849,0,8032
1850,0,8033
1851,0,8034
1852,1,8035
1853,0,8035
1854,0,8039
1855,0,8076
1856,1,8080
1857,2,8084
1858,2,8120
1859,2,8121
1860,2,8122
1861,2,8123
1862,1,8124
1863,1,8125
1864,1,8126
1865,2,8127
1866,1,8127
1867,0,8128
1868,0,8129
1869,0,8130
1870,1,8131
1871,0,8131
1872,0,8135
1873,0,8160
1874,1,8164
1875,0,8167
1876,2,8168
1877,1,8171
1878,6,8172
1879,0,8174
1880,2,8175
1881,10,8176
1882,1,8178
1883,6,8179
1884,0,8181
1885,2,8182
1886,10,8183
1887,1,8185
1888,6,8186
1889,0,8188
1890,0,8189
1891,2,8189
1892,10,8190
1893,1,8192
1894,6,8193
1895,1,8193
1896,2,8196
1897,2,8197
1898,10,8197
1899,6,8200
1900,6,8201
1901,10,8204
1902,10,8205
1903,10,8242
1904,9,8246
1905,8,8250
1906,4,8254
